,bdod_bdod_0-5cm_mean,bdod_bdod_0-5cm_mean,bdod_bdod_0-5cm_mean,bdod_bdod_0-5cm_mean,bdod_bdod_0-5cm_mean,bdod_bdod_0-5cm_mean,bdod_bdod_0-5cm_mean,bdod_bdod_0-5cm_mean,cec_cec_0-5cm_mean,cec_cec_0-5cm_mean,cec_cec_0-5cm_mean,cec_cec_0-5cm_mean,cec_cec_0-5cm_mean,cec_cec_0-5cm_mean,cec_cec_0-5cm_mean,cec_cec_0-5cm_mean,cfvo_cfvo_0-5cm_mean,cfvo_cfvo_0-5cm_mean,cfvo_cfvo_0-5cm_mean,cfvo_cfvo_0-5cm_mean,cfvo_cfvo_0-5cm_mean,cfvo_cfvo_0-5cm_mean,cfvo_cfvo_0-5cm_mean,cfvo_cfvo_0-5cm_mean,clay_clay_0-5cm_mean,clay_clay_0-5cm_mean,clay_clay_0-5cm_mean,clay_clay_0-5cm_mean,clay_clay_0-5cm_mean,clay_clay_0-5cm_mean,clay_clay_0-5cm_mean,clay_clay_0-5cm_mean,nitrogen_nitrogen_0-5cm_mean,nitrogen_nitrogen_0-5cm_mean,nitrogen_nitrogen_0-5cm_mean,nitrogen_nitrogen_0-5cm_mean,nitrogen_nitrogen_0-5cm_mean,nitrogen_nitrogen_0-5cm_mean,nitrogen_nitrogen_0-5cm_mean,nitrogen_nitrogen_0-5cm_mean,ocd_ocd_0-5cm_mean,ocd_ocd_0-5cm_mean,ocd_ocd_0-5cm_mean,ocd_ocd_0-5cm_mean,ocd_ocd_0-5cm_mean,ocd_ocd_0-5cm_mean,ocd_ocd_0-5cm_mean,ocd_ocd_0-5cm_mean,phh2o_phh2o_0-5cm_mean,phh2o_phh2o_0-5cm_mean,phh2o_phh2o_0-5cm_mean,phh2o_phh2o_0-5cm_mean,phh2o_phh2o_0-5cm_mean,phh2o_phh2o_0-5cm_mean,phh2o_phh2o_0-5cm_mean,phh2o_phh2o_0-5cm_mean,sand_sand_0-5cm_mean,sand_sand_0-5cm_mean,sand_sand_0-5cm_mean,sand_sand_0-5cm_mean,sand_sand_0-5cm_mean,sand_sand_0-5cm_mean,sand_sand_0-5cm_mean,sand_sand_0-5cm_mean,silt_silt_0-5cm_mean,silt_silt_0-5cm_mean,silt_silt_0-5cm_mean,silt_silt_0-5cm_mean,silt_silt_0-5cm_mean,silt_silt_0-5cm_mean,silt_silt_0-5cm_mean,silt_silt_0-5cm_mean,soc_soc_0-5cm_mean,soc_soc_0-5cm_mean,soc_soc_0-5cm_mean,soc_soc_0-5cm_mean,soc_soc_0-5cm_mean,soc_soc_0-5cm_mean,soc_soc_0-5cm_mean,soc_soc_0-5cm_mean
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
crop_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,72102.0,134.30885314941406,8.836402893066406,91.5387954711914,129.53602600097656,134.82081604003906,139.72113037109375,157.94924926757812,72102.0,219.89463806152344,57.81255340576172,107.92426300048828,180.91876220703125,215.84803771972656,249.0699005126953,491.18133544921875,72102.0,35.61826705932617,29.36923599243164,0.48405665159225464,12.92435359954834,25.886198043823242,52.70389175415039,241.32614135742188,72102.0,252.2535858154297,65.66983795166016,72.59562683105469,210.7960662841797,253.08871459960938,296.0227355957031,516.8949584960938,72102.0,4685.41015625,2375.234375,623.1502685546875,3150.32177734375,3908.342529296875,5612.78955078125,17360.9609375,72102.0,412.6339111328125,73.07889556884766,93.14364624023438,379.90435791015625,417.23004150390625,456.7602233886719,632.2940673828125,72102.0,59.87474822998047,6.742936134338379,44.49355697631836,54.273067474365234,60.14340591430664,64.15777587890625,82.56063842773438,72102.0,293.3590087890625,171.10482788085938,27.369892120361328,152.0699462890625,270.4017028808594,392.3414611816406,833.8887939453125,72102.0,454.3873596191406,130.27162170410156,82.75798034667969,375.0452880859375,465.2471618652344,555.0855102539062,728.4835815429688,72102.0,494.852783203125,267.76470947265625,65.91627502441406,337.6346740722656,434.34124755859375,545.775390625,2076.342041015625
2.0,3868.0,138.91741943359375,7.469966411590576,116.15765380859375,133.83438110351562,137.67245483398438,143.2674102783203,157.8665008544922,3868.0,216.3101348876953,49.79561233520508,117.13642120361328,179.3526611328125,210.4635772705078,256.8558349609375,341.695556640625,3868.0,21.592662811279297,32.707183837890625,0.48405665159225464,3.2067623138427734,6.735103607177734,18.013662338256836,163.59429931640625,3868.0,279.537353515625,68.06141662597656,122.70915222167969,223.87257385253906,269.3362731933594,342.4543762207031,421.8934020996094,3868.0,3855.041015625,1372.9158935546875,1904.8868408203125,3223.660888671875,3478.054443359375,3985.2850341796875,11687.7353515625,3868.0,365.7604675292969,35.215084075927734,197.9386444091797,343.2679138183594,360.572998046875,375.3448791503906,473.64813232421875,3868.0,59.21608352661133,3.9607110023498535,49.21598815917969,56.86764144897461,58.80124092102051,60.94636535644531,75.57440185546875,3868.0,221.79574584960938,115.60401916503906,52.78815460205078,128.84889221191406,204.2941131591797,294.92041015625,564.7149658203125,3868.0,498.667236328125,91.2232666015625,242.4495849609375,418.03021240234375,518.2316284179688,574.6161499023438,674.4564208984375,3868.0,383.67950439453125,94.42293548583984,188.82423400878906,317.43109130859375,351.226318359375,441.92108154296875,758.1303100585938
3.0,58854.0,134.94801330566406,6.994924068450928,95.96182250976562,130.8061065673828,135.20623779296875,139.59698486328125,157.94924926757812,58854.0,214.91680908203125,51.6002311706543,107.92426300048828,178.85971069335938,214.17491149902344,244.9088134765625,491.18133544921875,58854.0,30.724435806274414,24.88530921936035,0.48405665159225464,11.342744827270508,22.513301849365234,44.52413558959961,152.74562072753906,58854.0,257.2029113769531,64.00524139404297,73.82554626464844,215.61270141601562,257.87255859375,301.33575439453125,516.8949584960938,58854.0,4693.90966796875,2307.65185546875,970.706787109375,3217.646240234375,3926.577880859375,5438.6513671875,17360.9609375,58854.0,416.98114013671875,58.308746337890625,156.9641571044922,386.39544677734375,416.80029296875,450.9647521972656,632.2940673828125,58854.0,59.54856491088867,5.835677146911621,44.58771896362305,54.780216217041016,60.07893753051758,63.549827575683594,78.13284301757812,58854.0,270.7008972167969,169.9902801513672,27.369892120361328,137.82559204101562,228.36900329589844,367.5478820800781,823.96142578125,58854.0,472.09613037109375,130.31930541992188,82.75798034667969,389.5224304199219,490.9381103515625,570.3152465820312,728.4835815429688,58854.0,465.9473571777344,201.24777221679688,102.2863998413086,342.0758972167969,428.4085998535156,517.5021362304688,2076.342041015625
4.0,51382.0,135.8791046142578,10.496633529663086,90.685546875,130.48338317871094,135.78268432617188,142.32073974609375,158.52967834472656,51382.0,212.8022918701172,43.76084518432617,110.84551239013672,182.79161071777344,210.4635772705078,239.29541015625,453.315185546875,51382.0,40.747047424316406,35.157711029052734,0.48405665159225464,14.544536590576172,29.096940994262695,55.593868255615234,241.32614135742188,51382.0,256.36614990234375,61.22566223144531,70.19400024414062,216.28424072265625,257.83306884765625,296.4386901855469,506.7234191894531,51382.0,4336.615234375,2400.1552734375,623.1502685546875,2949.883544921875,3612.5283203125,5064.57177734375,17360.9609375,51382.0,378.0753479003906,82.07664489746094,93.14364624023438,328.58111572265625,397.9205627441406,431.98699951171875,672.061279296875,51382.0,62.6863899230957,6.8371992111206055,45.55472183227539,57.726139068603516,62.509578704833984,67.75739288330078,82.56063842773438,51382.0,276.13421630859375,141.51344299316406,27.369892120361328,159.89100646972656,263.6266174316406,371.4309997558594,806.9139404296875,51382.0,467.4996032714844,114.44226837158203,119.26656341552734,385.8619079589844,460.49078369140625,560.7353515625,728.4835815429688,51382.0,425.8034362792969,204.52317810058594,65.91627502441406,305.4169921875,381.2483215332031,510.68121337890625,2230.1025390625
